0.1, 0.001
2.89855,0.0190476,
5,0.104762,
8.69565,0.161905,
9.5,0.209524,
11.5942,0.276190,
12.5942,0.352381,
13.5942,0.428571,
14.4928,0.495238,
15.4928,0.571429,
16.4928,0.647619,
17.3913,0.761905,
18.3913,0.857143,
19.3913,0.942857,
19.6913,1.03810,
20.0913,1.10476,
20.2899,1.22857,
22.3913,1.32381,
25.0870,1.45714,
28.0870,1.59048,
37.6812,1.74286,
40.5797,1.85714,
46.3768,1.96190,
55.0725,2.06667,
60.8696,2.16190,
63.7681,2.24762,
69.5652,2.32381,
69.5652,2.39048,
86.9565,2.50476,
95.6522,2.60000,
104.348,2.65714,
121.739,2.70476,
150.725,2.64762,
165.217,2.59048,
185.507,2.49524,
188.406,2.39048,
211.594,2.28571,
223.188,2.16190,
243.478,2.05714,
246.377,1.95238,
257.971,1.83810,
266.667,1.73333,
275.362,1.60952,
281.159,1.52381,
289.855,1.44762,
301.449,1.34286,
307.246,1.23810,
315.942,1.16190,
321.739,1.05714,
321.739,1,
324.638,0.923810,
324.638,0.838095,
330.435,0.742857,
336.232,0.676190,
336.232,0.600000,
339.130,0.523810,
339.130,0.447619,
340.130,0.419048,
350.725,0.295238,
351.725,0.190476,
352.725,0.104762,
353.623,4.44089e-16,
373.913,-0.133333,
417.391,-0.133333,
455.072,-0.114286,
475.362,-0.0285714,
498.551,0.0761905,
530.435,0.161905,
585.507,0.219048,
643.478,0.209524,
681.159,0.171429,
718.841,0.123810,
759.420,0.0571429,
797.101,0.0190476,
